1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Udaynarayan, 2019, For uniform flow m.c.f.&e.c.f. = 1.



1369. The pressure less than atmospheric , pressure, is known



1370. If H is the difference of liquid levels on two sides of an orifice (width b, depth d), the discharge through the orifice will be
	Piyush Singh, 2015, Discharge (Q) = (Cd) * (Area of orifice) * (Velocity). $%  $% = (Cd) * (b*d) * (sqrt (2gh)). $%  $% = Cd*b*d*sqrt (2gh).
	Utsav, 2018, Simple. Thanks for your solution @Piyush.
	Pkota, 2021, Q = AV. $% Q =  bxdx√2gh. $% Q = Cd bd√2gh.



1371. A load w is rolled a distance d across the deck of a ship of weight W, due to which the ship heels through θ°. The metacentric height of the ship, is
	Kajal Ncp, 2018, Which is the correct answer please explain it.



1372. A rise or fall of liquid in a glass tube of a very small diameter when dipped is
	Snehal Wankhede, 2016, Option A directly proportional to σ (force/length). Inversely proportional to weight of liquid.
	Santosh Kr, 2017, Option D is correct because of h =4sigma cosθ divided by YD. $%  $% Hence D is correct.
	Sudarshan, 2017, In question, There is a rise or fall of 'pressure'.
	Ovais, 2017, A is the right answer i.e f/l.
	Ranjan Patel, 2018, Cause of capillarity: $% The surface tension of the fluid. $% Adhesion of fluid. $% Sp. The weight of the fluid. $% So, the answer is c.
	Ritu, 2018, Answer should be option D.
	Prahlad  Chaudhary, 2018, Diameter is directly proportional to surface tension (σ). So correct answer is A.
	Salim Malik, 2018, For pure water in contact with air in a clean glass tube, the capillary rise takes place with θ = 0. Mercury causes capillary depression with an angle of contact of about 1300 in a clean glass in contact with air. Since h varies inversely with D as found from Eq. ( Capillary rise (h) = 4cosθ/ρgD )an appreciable capillary rise or depression is observed in tubes of a small diameter only.
	Sandeep Singh, 2018, Opption A and D both are correct.
	Niranjan, 2018, Option A & D Correct.
	Priya, 2018, According to me, A and D is correct but in question, small diameter is given.
	Pankaj, 2018, Option A & D are correct.
	Shubham, 2018, Both A and D is correct.
	Basavaraj M K, 2018, According to me, Both A and D is correct.
	Akshay, 2018, Capillarity is due to rise and fall of liquid. I. E cohesion and adhesion. And we know h=4σcosθ/wr hence is inversely proportional to diameter. Hence option D is correct. $%  $% Where surface tention means force per unit lenght and it is due to cohesion only. Hence it does not take in part of rise and fall of liquid so option A can't be considered.
	Suhas Gotmare, 2019, h=(4sigma cosθ) &div;(wd). $%  $% Here, h Inversely proportional to sp. Weight of liquid.
	Shimin, 2020, It should be "inversely proportional to the specific weight of liquid".
	Pijush Mal, 2020, Inversely proportional to Sp weight and (diameter) ^2.
	Mjm Gcek, 2021, Both A and D are correct.
	Manish Chaurasiya, 2021, Agree, Both A & D are correct.
	Shahid Yousuf, 2021, D is the correct answer.



1373. To measure very low pressure, we use
	Polisetty Chaitanya, 2015, To measure very low pressures we use piezometers. Manometers are used to measure pressure in a channel and pipes so piezometer is right answer. Sir thank you.
	Nshuaan@Gmail.Com, 2016, The Correct one is piezometer.
	Shuaan, 2016, Piezometers is the right answer.
	Payal, 2016, Peizometer is a correct answer.
	Akash, 2016, Piezometers are used to measure very low pressure.
	Chirag, 2016, Piezometers are used to measure very low pressure.
	Sahitya Pratap Singh, 2016, Manometer uses to high pressure in the channel, pipe so that manometer is not the right answer and the right answer is piezometer.
	Aashish, 2016, Yes, the right answer is piezometer only.
	Krishna, 2016, I think manometer would be the right answer. Our BP also measuring with a manometer. A piezometer is used to measure pressure in vessels and medium.
	Parimal Biswas, 2017, B) Piezometer is the correct answer.
	Renu, 2017, It is Piezometer.
	Dinesh Prasad Sao, 2017, Piezometer is right answer.
	Anup, 2017, It's Piezometer.
	Chhaya, 2017, It's Pizometer.
	Deven Negi, 2017, Piezometers is the right option.
	Navneet, 2017, Yes, piezometer is right. I agree.
	Sandeep Kumar, 2017, Piezometer is the right answer.
	Manabendra Chakrabarty, 2017, A Manometer is used to measure high pressure. $%  $% So piezometer is the correct answer.
	Roy, 2017, Yes, it's piezometer.
	Teba Saadi, 2017, Manometer is used to measure pressure in water, pipe, . $%  $% So the correct answer for this eq. Is piezometer.
	Teba Saadi, 2017, A Manometer is used to measure pressure in water, pipes. $% So in this equation, the correct answer is piezometer.
	Venkatesh, 2017, Piezometer is correct.
	Siddharth, 2017, Piezometer is used to measure only moderate pressure.
	Dipak, 2018, Piezometer is correct.
	Shahid, 2018, Yes, piezometer is the right answer.
	Kamal Kumar, 2018, Inclined manometer is used to measure very low pressure but simple manometer used to measure both high & negative pressure and piezometer used to measure only moderate pressure.
	Yash, 2018, Piezometer is the correct option.
	Kavi, 2018, Piezometer is the correct answer.
	Ravindra Rathod, 2018, I agree with you @Kamal Kumar.
	Basvaraj, 2018, For this, piezometers is the correct answer.
	Taj, 2018, Yes, B is the right answer.
	Anshu Gupta, 2018, By inverted manometer, we measure pressure in gas pipe which is very low. So, the right answer is manometer.
	Asay, 2018, Piezometer is the correct answer.
	Md Aqeel Ahmed, 2019, Piezometer is used to measure low pressure and static pressure. $%  $% So, Option B is correct.
	Zulfiqar Ali, 2019, Piezometer is the right answer. $%  $% Manometer is used to measure pressure of pipes and channels as already discussed in previous section.
	Anil Mehta, 2019, Manometers is used for high, medium and low pressure. $%  $% Is also measure negative gauge pressure. $%  $% Piezometer is not used for negative gauge pressure. Piezometer is not used for measure gas pressure. $%  $% Where manometers is also measured gas pressure, and low pressure. $%  $% I think answer C is correct.
	Rahul Khan, 2019, Piezometer is the correct answer.
	Madhusmita, 2019, Differential manometer is correct. Inverted differential manometer is used for measuring low pressure.
	Saurabh, 2019, Piezometer is the correct answer.
	Sdo Ali Ejaz, 2019, To measure very low pressures we use piezometers. Manometers are used to measure pressure in a channel and pipes so piezometer is the right answer. Sir thank you.
	Nami, 2020, Piezometer is the answer.
	Dheeraj, 2020, Piezometer is the correct answer.
	Achumi Kits, 2020, Option B Piezometer is correct.
	Fayyaz, 2020, Piezometer is the correct answer.
	Govind, 2020, B) Piezometers is the answer.
	Baswaraj, 2020, Piezometer is used to measure very low pressure. $%  $% The manometer measures the pressure in the pipe.
	Khadka, 2021, Piezometer is the correct answer.



1374. If a pitot tube is placed with its nose facing down stream, the liquid
	Sourav Mal, 2017, Explain it, please.
	Pavan, 2020, v=√(2gh) $% h=v2/2g $%  $% But don't know how the another square root came? Please explain me.
	Sagoe, 2020, Maximum velocity in the center of the pipe side wall with velocity may be zero due to the viscosity of the fluid and pipe wall surface roughness.



1375. The discharge through an internal mouth piece is more if its length is
	Bijay, 2018, Please explain.
	Sameer, 2020, Can anybody explain what's asked in the question.



1376. A spherical load 900 kg is rolled through 9.8 m across the deck of a ship weighing 10, 000 kg. If the metacentric height of the ship is 5 metres, the angle of heel, is
	Seazzzz, 2015, Metacentric height = w.x/(W tan a). $% w = 900 kg. $% W = 10,000 kg. $%  $% x = 9.8 m. $% MH = 5 m. $%  $% Using these formula and values find value of a.
	Lax, 2016, 5 tan a = 900 * 9.8/(10000), $% tan a = 0.1764, $% a = 10.15.
	Krishan, 2017, How to calculate it without calculator ?
	Rohit, 2018, According to me, it is 10.0040. $%  $% Can anyone explain me?
	Bcs, 2018, It is 10.0040 = 10° 15seconds is the answer.
	Priyanka, 2019, Right @Bcs.



1377. Pick up the correct statement from the following :
	Achumi Kits, 2020, Is option B correct anybody? $%  $% Please explain the answer.



1378. Pick up the incorrect statement from the following :



1379. Chezy's formula is used to determine
	Ratna Kumar, 2016, It is also used to determine head loss due to friction in pipes.
	Anil, 2017, Yes you are right @Ratna.
	Dolly, 2018, C is correct. It can be used for velocity as v = c (RS) 1/2.
	Rahul, 2018, Head loss due to friction is measured by Manning Fomula.
	Vivek Bahra, 2018, Option A is also correct.
	Dukur, 2019, Mannings - headloss due to friction in the pipe. $% Pitot tube - velocity of flow in the pipe. $% Chezys -  velocity of flow in open channel.
	Sairam, 2019, Yes, it is used to find the velocity of flow in the open channel of turbulent flow.
	Mrinmoy, 2019, A is the correct answer.
	Hayat, 2019, Chezy's formula used for uniform flow so option C is correct.



1380. The metacentric height of a body equals the distance between
	Sachin, 2020, In a stable equilibrium condition the metacenter above from the center of gravity. But in unstable equilibrium condition the metacenter below the unstable equilibrium.



1381. Discharge through a totally submerged orifice, is directly proportional to
	Raj, 2017, Please anybody tell me its formula.
	Rishabh, 2018, The Correct option is A.  $%  $% Q = Cd * b * (H2-H1)/2gh.
	Mohan, 2018, Cd*a* √(2g(h2-h1)).
	Raz, 2019, A is the correct answer.
	Kailash, 2021, Which is correct A or B? Explain, please.
	Anonymous, 2021, B) is the correct answer. $%  $% Because;  $% Discharge from Orifice  $% Q = a.Cd. √2gh.
	Anonymous, 2021, B) is correct. $%  $% Q=Cd*a* √(2g(h2-h1)). $% a = area of orifice. $% Cd = coefficient of disharge. $% h1 & h2=  difference in elevation of water surface.
	Deepankar, 2021, The given answer is right, $%  $% Q = Cd * a * (√/2gh/), where h=difference in water level, $%  $% Ref:  R.K.Bansal.



1382. Frictional loss of head includes the loss of energy due to
	Mrinmoy Natg, 2016, Why none of this as we know viscosity acts as a frictional force towards the direction of flow?
	Krrish, 2017, Viscosity is the correct answer.
	Vishwajeet, 2017, Viscosity comes under major loss. $%  $% Viscosity is correct Answer.
	Spider, 2017, What about turbulence?
	Sanjay Shivhare, 2017, The answer is viscosity and turbulence.
	Rathod, 2017, The friction loss due to : Pipe material, Increase pipe length, Age of Pipe, Increased flow rate, Pipe fittings.
	Puni, 2017, The Answer must be C.
	Gurpreet Singh, 2017, Turbulence causes Eddy losses not friction losses.
	Ramavtar, 2017, In fluid flow, friction loss (or skin friction) is the loss of pressure or "head" that occurs in pipe or duct flow due to the effect of the fluid's viscosity near the surface of the pipe or duct.
	B Gurunath, 2017, According to Darcy's equation friction losses will be more which belongs to turbulence flow. But viscous losses will be more in case of laminar flow. My answer is B.
	Roy, 2017, Yes, it's viscocity.
	Garry, 2018, Correct answer is option C.
	Vivan, 2018, C is the correct answer.
	Govinda, 2018, Frictional losses manly due to pilp roughness matrial length.
	Munni, 2018, The Darcy equation gives the head loss in turbulent flow for a circular pipe. The friction factor f depends on the velocity of flow, the pipe diameter, the fluid density and viscosity and the roughness of the pipe.
	Abhik, 2019, Here it is head loss of friction.
	Prabudh, 2021, It's Due to contact surface.
	Mjm Gcek, 2021, Frictional losses are caused due to laminar flow and turbulent flow, where laminar is due to viscosity and turbulence is due to roughness so the answer should be both.
	Grau, 2021, I think it's due to surface friction.



1383. The length of hydraulic jump is roughly
	Hansraj, 2018, Hydraulic jump means?
	Priyanka Shah, 2019, When a hypercritical flow meets a sub critical flow, the force which is generated between them is called hydraulic jump.
	Soumen, 2021, Thanks @ Priyanka Saha.



1384. To ensure that water does not rise more than 100 cm above the crest, for a discharge of 5.00 m3/sec, the length of water will be
	Srinu, 2016, Anybody explanation.
	Saikat, 2016, Can someone explain this? Please.
	Jeevan, 2017, Please give the Explanation.
	Rajani, 2017, Please, anybody explain it.
	Tahir, 2017, Q= 2.01*L*H^3/2,  $% 5= 2.01*L*1^3/2, $% L= 2.49m.
	Garry, 2018, What value of coefficient of discharge should be taken?
	Yogesh, 2018, Explanation please.
	Saeed Achakzai, 2018, It can be solved by; $%  $% Q=1.71*Cd*L*H^3/2. $% Avg valve of cd is 0.62.
	Inica, 2019, Thanks @Tahir.
	Chander Shekhar, 2020, Use Benzin formula. $%  $% q=m*l*√2*9.81*H^3/2. $% m=0.45+0.003/H.
	Ajay Yadav, 2020, Please anyone explain it in detail.
	Ajay Yadav, 2021, Anyone explain it in detail.



1385. For a most economical trapezoidal open channel, the half of the top width must be equal to



1386. Pick up the correct statement regarding convergent divergent mouth piece from the following :



1387. The value of kinetic energy correction factor (a) for a laminar flow through a circular pipe, is
	Mahi, 2017, 1.5 for Rectangle. $% 2.5 for Triangular. $% 2.0 for Circular.
	Snju, 2018, Thanks for the answer @Mahi.
	Sachu, 2020, Thanks @Mahi.



1388. The formula Q = m x L x √2g x H3/2 where  was suggested by :



1389. One metric slug is equal to
	Sajith Ca, 2018, Please explain it.
	Muhammad Imran Samtia, 2020, 1 slug = 32.1740 lbs. $% 1 metric slug = 32.1740/3.28 = 9.81.
	Sachu, 2020, Thanks @Muhammad.
	Sree, 2020, @Muhammad.  $%  $% Why 3.28 is taken?
	Shehbaz, 2021, Why 3.28 is divided? Explain please.



1390. Falling drops of water become spheres due to
	Baseer Ullah, 2018, What is surface tension?
	Shaz, 2019, Tendency of fluid to shrink it surface, water slider and insects slide on water surface make it possiable due to this property of water.



1391. The most efficient channel section, is
	Ratna Kumar, 2016, WHY IT IS?
	Navneet, 2017, Semicircular is most economical.
	Atul Patel, 2017, Yes, the right answer is A.
	Shivnandan Singh, 2017, Semicircular section is the best economical channel but due to difficulty in creating it, trapezoidal can be considered most efficient.
	Roy, 2017, Yes it's A, I also agree.
	Ajay, 2019, Trapezoid is correct. $%  $% Ref: Agor.
	Abdul Latif, 2019, Semi circular are most economical but they are difficult to built, therefore option D trepozidal is correct.
	Pavan Gawande, 2020, Yes, A is  correct. I too agree.
	Dipunku., 2020, A is the correct answer.
	Loknath, 2020, A is the answer. I too agree.
	Prathesh, 2021, Not economical it's most efficient. So, it's definitely semi-circular section.
